"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","Green","sample_sizeG","black","sample_sizeB","lineage"
"CSA",0,0,25,0,25,0,1,0,0,1,43.9979644,10.2538787,7.57142857142857,14,0.447486527203622,14,"Hybrid"
"CT",2,0,22,2,26,0.0769230769230769,0.846153846153846,0.0769230769230769,0,3,44.51326,10.73318,3.78947368421053,19,0.305678947368421,19,"Hybrid"
"CTG",0,0,23,0,23,0,1,0,0,1,44.4389666666666,9.41163055555555,7.94444444444444,18,0.308366598308556,18,"SA"
"CV",0,0,18,0,18,0,1,0,0,1,43.698056,11.936044,3.42857142857143,7,0.275314285714286,7,"IT"
"CX",3,0,18,1,22,0.136363636363636,0.818181818181818,0.0454545454545455,0,3,44.533056,10.340833,3.33333333333333,12,0.244166666666667,12,"Hybrid"
"DR",9,0,20,2,31,0.290322580645161,0.645161290322581,0.0645161290322581,0,3,42.3308764,13.3763542,1.21,14,0.21,14,"IT"
"DS",11,1,44,2,58,0.189655172413793,0.758620689655172,0.0344827586206897,0.0172413793103448,3,42.346759,13.291713,1.26666666666667,31,0.170923629163866,31,"IT"
"FDM",0,0,22,0,22,0,1,0,0,1,43.958,10.1673,6.5,16,0.351376269872004,16,"Hybrid"
"FG",21,0,31,1,53,0.39622641509434,0.584905660377358,0.0188679245283019,0,3,42.278601,13.188891,2.08333333333333,24,0.228815624219722,24,"IT"
"FM",2,0,29,2,33,0.0606060606060606,0.878787878787879,0.0606060606060606,0,3,44.165611,10.638823,3.375,16,0.25560625,16,"Hybrid"
"FO",0,0,27,0,27,0,1,0,0,1,41.413293,12.904334,8.42857142857143,14,0.637128571428571,14,"IT"
"FU",0,0,70,0,70,0,1,0,0,1,41.723363,12.306088,9.52173913043478,47,0.690634920838268,47,"IT"
"GC",0,0,64,0,64,0,1,0,0,1,43.58758,11.31481,7.14814814814815,27,0.505909090909091,27,"IT"
"GN",0,0,27,0,27,0,1,0,0,1,44.383538,9.045951,7.23076923076923,13,0.259230769230769,13,"SA"
"GO",0,0,27,0,27,0,1,0,0,1,44.290995,9.673241,4.4375,16,0.339375,16,"SA"
"GR",0,0,22,0,22,0,1,0,0,1,44.191791,10.106418,4.3,20,0.297894736842105,20,"Hybrid"
"GS",0,0,21,0,21,0,1,0,0,1,42.224,12.8439,5.42857142857143,14,0.31695442705644,14,"IT"
"IMM",1,0,28,3,32,0.03125,0.875,0.09375,0,3,44.46192,9.48231,4.11111111111111,18,0.286191342907315,18,"SA"
"IS",0,0,27,0,27,0,1,0,0,1,44.06614,10.3145994,4.05882352941176,17,0.317861648229122,17,"Hybrid"
